Classifier,Night_Accuracy,Night_ROC_AUC,Participant_Accuracy,Participant_Precision,Participant_Recall,Participant_F1,Participant_ROC_AUC
Random Forest,0.8130559655645989,0.9107036818869323,0.8566176470588236,0.8393578643578643,0.8838023088023087,0.8576585179526356,0.953860028860029
Logistic Regression,0.7910713343007911,0.8613986983368447,0.8816176470588235,0.8778571428571429,0.8814935064935066,0.8787593984962406,0.9308297258297259
SVM,0.8086688652959072,0.9030702832629706,0.8691176470588236,0.8314285714285715,0.9310245310245311,0.8758971704623878,0.9598124098124099
XGBoost,0.8023570612731211,0.9009774835328711,0.8448529411764705,0.8242063492063492,0.8838023088023087,0.8497533796127147,0.9251803751803752
