feature_index,feature_name,control_mean,control_std,control_median,control_iqr,irbd_mean,irbd_std,irbd_median,irbd_iqr,mean_difference,median_difference,percent_change,control_normal,irbd_normal,control_shapiro_p,irbd_shapiro_p,test_type,test_statistic,p_value,p_value_corrected,is_significant,effect_size,effect_size_interpretation,is_large_effect,significant_and_large
979,Feature_0979,0.029687567,0.008962356,0.029286347,0.01166172232478857,0.056438547,0.021424208,0.053308733,0.027647003531455994,0.02675098,0.024022385,90.10836,True,True,0.9247025549498502,0.08721173111609799,Independent t-test,-7.465190366916764,6.574163637125392e-10,6.731943564416402e-07,True,1.6290380954742432,Large,True,True
323,Feature_0323,0.0042718262,0.0019717128,0.004325458,0.0022258362150751054,0.0086642215,0.0038474943,0.00817628,0.004379184218123555,0.0043923953,0.0038508223,102.822426,True,True,0.2895385782116394,0.3130007303923359,Independent t-test,-6.584326773718629,1.1832643693217089e-08,1.2116627141854299e-05,True,1.4368178844451904,Large,True,True
249,Feature_0249,0.015841564,0.0068446407,0.016071888,0.008673261851072311,0.03049372,0.013088075,0.02905617,0.014074482023715973,0.014652155,0.012984281,92.491844,True,True,0.9719042659143635,0.38128640931649976,Independent t-test,-6.429122462665618,2.086289832740281e-08,2.136360788726048e-05,True,1.4029494524002075,Large,True,True
466,Feature_0466,0.0037681875,0.0012951298,0.0037173731,0.0018710581352934241,0.006482188,0.0025640873,0.0060716,0.0033698180923238397,0.0027140006,0.002354227,72.02403,True,True,0.8879212747738187,0.3382608286906039,Independent t-test,-6.122904442753243,7.394523624451957e-08,7.571992191438804e-05,True,1.3361272811889648,Large,True,True
709,Feature_0709,0.012231898,0.0055544693,0.012865569,0.006814668187871575,0.022162413,0.010440587,0.019770034,0.013430910650640726,0.009930516,0.006904464,81.18541,True,True,0.5779345940277623,0.3141917327898808,Independent t-test,-5.441928222207869,9.367614485745821e-07,0.0009592437233403721,True,1.1875261068344116,Large,True,True
743,Feature_0743,0.43301296,0.06671057,0.4225992,0.06573321670293808,0.34644517,0.08154071,0.34562832,0.10018084198236465,-0.08656779,-0.076970875,-19.991962,True,True,0.429625888110759,0.9817953645818479,Independent t-test,5.325193425662947,9.253314100731343e-07,0.0009475393639148895,True,-1.1620523929595947,Large,True,True
881,Feature_0881,2.6583433,0.24581301,2.6209452,0.2609010338783264,2.3061872,0.35131535,2.3544812,0.428816556930542,-0.35215616,-0.266464,-13.247204,True,True,0.0689599620002687,0.23345107853306124,Independent t-test,5.322702931130463,1.069140335492195e-06,0.0010947997035440076,True,-1.1615090370178223,Large,True,True
479,Feature_0479,1.9382862,0.19209582,1.9177554,0.2003071904182434,1.6895071,0.23738858,1.7413471,0.31235557794570923,-0.24877906,-0.17640829,-12.835002,True,True,0.6873303712511019,0.1210995318293227,Independent t-test,5.279641195651019,1.1202472776681821e-06,0.0011471332123322185,True,-1.1521122455596924,Large,True,True
678,Feature_0678,1.0895202,0.12472224,1.0536814,0.1687583327293396,0.929251,0.15764414,0.94478774,0.19782386720180511,-0.1602692,-0.10889363,-14.710072,True,True,0.060843404038248255,0.0657573635082672,Independent t-test,5.167074563919902,1.7852175018298008e-06,0.001828062721873716,True,-1.127548098564148,Large,True,True
744,Feature_0744,0.07502199,0.026312225,0.0736316,0.028471936471760273,0.11074155,0.0382397,0.10368253,0.04986772499978542,0.03571956,0.030050933,47.612118,True,True,0.5724606276655382,0.10057567153403024,Independent t-test,-4.98708332824426,4.033707089540367e-06,0.004130516059689336,True,1.0882707834243774,Large,True,True
