Classifier,Night_Accuracy,Night_ROC_AUC,Participant_Accuracy,Participant_Precision,Participant_Recall,Participant_F1,Participant_ROC_AUC
Random Forest,0.836933809452257,0.8994263799950721,0.8823529411764707,0.8469696969696969,0.9355555555555555,0.8866479925303455,0.9383333333333332
Logistic Regression,0.813980368654595,0.8473037083302362,0.8580882352941177,0.8300649350649352,0.9105555555555555,0.8678860613071141,0.9097330447330447
SVM,0.8282625963568495,0.9016161158363042,0.8823529411764707,0.852842712842713,0.9355555555555555,0.8916476712142346,0.9575901875901875
XGBoost,0.8328441800768127,0.8946539041546941,0.8823529411764707,0.8656204906204905,0.9105555555555555,0.8865995115995116,0.9382539682539683
