Classifier,Night_Accuracy,Night_ROC_AUC,Participant_Accuracy,Participant_Precision,Participant_Recall,Participant_F1,Participant_ROC_AUC
Random Forest,0.8435890372254008,0.9278101343404412,0.8698529411764706,0.8529292929292929,0.8679292929292929,0.8573737373737373,0.9492424242424242
Logistic Regression,0.8423910433001343,0.8952730001453213,0.8926470588235293,0.8473015873015873,0.9484848484848485,0.8937722692198395,0.9575757575757576
SVM,0.8430288398470216,0.9172793452854195,0.8580882352941176,0.8294444444444444,0.9012626262626263,0.8589924085576259,0.9351641414141415
XGBoost,0.8326092089728453,0.9155087894912926,0.8698529411764705,0.8377777777777778,0.8929292929292929,0.8614947428246662,0.931723484848485
